date,point_forecast,lo80,hi80,lo95,hi95
2025-04-01,2913.434057877992,2697.580661052564,3146.559482781681,2589.8658419689914,3277.427684497431
2025-05-01,2926.851867367242,2585.537510834893,3313.222808647215,2421.276728152559,3537.993717904089
2025-06-01,2935.4689958129156,2496.049633152057,3452.2463459579535,2290.7244672707457,3761.682536898673
2025-07-01,2942.354564211569,2422.6402610103987,3573.5600208038886,2185.7830464486015,3960.8004077088226
2025-08-01,2948.6213842530665,2360.6896982092208,3682.9779340630284,2098.5169673539035,4143.101153305195
2025-09-01,2954.6721088663016,2307.0739100191413,3784.0518385646405,2023.8675472364696,4313.566509247662
2025-10-01,2960.6523314099545,2259.710983749554,3879.0191712652627,1958.5729695256853,4475.433064720567
2025-11-01,2966.6146917412207,2217.1922314443664,3969.3458259691215,1900.4683236145618,4630.85999377055
2025-12-01,2972.578229922038,2178.537721285397,4056.0332036816117,1848.0649495374475,4781.3370061577425
2026-01-01,2978.549842376511,2143.0440822185833,4139.793127510784,1800.3019998853629,4927.928294300658
2026-02-01,2984.5320368062694,2110.1907824191226,4221.149837699272,1756.3981507552267,5071.41929914519
2026-03-01,2990.5257348716623,2079.5817368049316,4300.50140018545,1715.7609590729296,5212.406847024874
