model,p,d,q,AIC,BIC,logLik,MAE,RMSE,MAPE,sMAPE,Ljung_Box_p
"ARIMA(1,1,1)",1,1,1,-1135.4900378985697,-1119.4254092597762,571.7450189492848,0.13252007870013327,0.13826524416104122,1.6617988644144477,1.6769326268899845,0.2619948686009823
"ARIMA(1,1,2)",1,1,2,-1133.7778044568388,-1113.6970186583471,571.8889022284194,0.1336504715843657,0.1393707185695069,1.6759897272547137,1.691368032506837,0.258164438939418
"ARIMA(4,1,2)",4,1,2,-1134.1237600019188,-1101.9945027243318,575.0618800009594,0.1351407156925184,0.14076409536717704,1.6947171054670578,1.7104068822152332,0.4290770084738307
"ARIMA(4,1,1)",4,1,1,-1134.8241244053286,-1106.71102428744,574.4120622026643,0.13600448078019708,0.14149381490117546,1.705584896234544,1.721439171545595,0.45603190523981496
